Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48,MP
Álex Abrines,6,1.3,0.6,0.5,0.1,0.393,0.381,0.898,0.096,15.5
Quincy Acy,5.8,3,0.5,0.4,0.4,0.412,0.411,0.75,0.082,14.7
Steven Adams,11.3,7.7,1.1,1.1,1,0.571,0,0.611,0.13,29.9
Arron Afflalo,8.4,2,1.3,0.3,0.1,0.44,0.411,0.892,0.043,25.9
Alexis Ajinça,5.3,4.5,0.3,0.5,0.6,0.5,0,0.725,0.08,15
Cole Aldrich,1.7,2.5,0.4,0.4,0.4,0.523,,0.682,0.116,8.6
LaMarcus Aldridge,17.3,7.3,1.9,0.6,1.2,0.477,0.411,0.812,0.149,32.4
Lavoy Allen,2.9,3.6,0.9,0.3,0.4,0.458,0,0.697,0.093,14.3
Tony Allen,9.1,5.5,1.4,1.6,0.4,0.461,0.278,0.615,0.077,27
Al-Farouq Aminu,8.7,7.4,1.6,1,0.7,0.393,0.33,0.706,0.051,29.1
Chris Andersen,2.3,2.6,0.4,0.4,0.6,0.409,0,0.714,0.102,9.5
Alan Anderson,2.9,0.8,0.4,0.1,0,0.375,0.318,0.75,0.02,10.3
Justin Anderson,7.1,3.3,0.9,0.5,0.3,0.424,0.299,0.791,0.074,16.4
Kyle Anderson,3.4,2.9,1.3,0.7,0.4,0.445,0.375,0.789,0.127,14.2
Ryan Anderson,13.6,4.6,0.9,0.4,0.2,0.418,0.403,0.86,0.117,29.4
Giannis Antetokounmpo,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,0.21,35.6
Carmelo Anthony,22.4,5.9,2.9,0.8,0.5,0.433,0.359,0.833,0.089,34.3
Joel Anthony,1.3,1.6,0.2,0.1,0.3,0.625,,0.625,0.141,6.4
Trevor Ariza,11.7,5.7,2.2,1.8,0.3,0.409,0.344,0.738,0.104,34.7
Darrell Arthur,6.4,2.7,1,0.5,0.5,0.442,0.453,0.864,0.081,15.6
Ömer Aşık,2.7,5.3,0.5,0.2,0.3,0.477,,0.59,0.1,15.5
D.J. Augustin,7.9,1.5,2.7,0.4,0,0.377,0.347,0.814,0.038,19.7
Luke Babbitt,4.8,2.1,0.5,0.3,0.2,0.402,0.414,0.733,0.081,15.7
Ron Baker,4.1,1.9,2.1,0.7,0.2,0.378,0.267,0.651,-0.008,16.5
Wade Baldwin,3.2,1.4,1.8,0.5,0.2,0.313,0.136,0.838,-0.041,12.3
Leandro Barbosa,6.3,1.6,1.2,0.5,0.1,0.439,0.357,0.889,0.031,14.4
J.J. Barea,10.9,2.4,5.5,0.4,0,0.414,0.358,0.863,0.08,22
Harrison Barnes,19.2,5,1.5,0.8,0.2,0.468,0.351,0.861,0.078,35.5
Matt Barnes,7.1,5.2,2.6,0.6,0.4,0.391,0.331,0.787,0.053,24
Will Barton,13.7,4.3,3.4,0.8,0.5,0.443,0.37,0.753,0.093,28.4
Brandon Bass,5.6,2.5,0.4,0.3,0.2,0.575,0.333,0.875,0.186,11.1
Nicolas Batum,15.1,6.2,5.9,1.1,0.4,0.403,0.333,0.856,0.084,34
Jerryd Bayless,11,4,4.3,0,0,0.344,0.4,0.9,-0.067,23.7
Aron Baynes,4.9,4.4,0.4,0.2,0.5,0.513,,0.84,0.123,15.5
Kent Bazemore,11,3.2,2.4,1.2,0.7,0.409,0.346,0.708,0.052,26.9
Bradley Beal,23.1,3.1,3.5,1.1,0.3,0.482,0.404,0.825,0.152,34.9
Malik Beasley,3.8,0.8,0.5,0.3,0,0.452,0.321,0.8,0.057,7.5
Michael Beasley,9.4,3.4,0.9,0.5,0.5,0.532,0.419,0.743,0.092,16.7
Marco Belinelli,10.5,2.4,2,0.6,0.1,0.429,0.36,0.893,0.087,24
DeAndre' Bembry,2.7,1.6,0.7,0.2,0.1,0.48,0.056,0.375,0.038,9.8
Dragan Bender,3.4,2.4,0.5,0.2,0.5,0.354,0.277,0.364,-0.029,13.3
Anthony Bennett,5,3.4,0.5,0.2,0.1,0.413,0.271,0.722,0.09,11.5
Ben Bentil,0,0.7,0,0,0,0,0,,-0.473,3.3
Dāvis Bertāns,4.5,1.5,0.7,0.3,0.4,0.44,0.399,0.824,0.135,12.1
Patrick Beverley,9.5,5.9,4.2,1.5,0.4,0.42,0.382,0.768,0.123,30.7
Bismack Biyombo,6,7,0.9,0.3,1.1,0.528,,0.534,0.077,22.1
Nemanja Bjelica,6.2,3.8,1.2,0.6,0.3,0.424,0.316,0.738,0.059,18.3
Tarik Black,5.7,5.1,0.6,0.4,0.7,0.51,0.5,0.752,0.105,16.3
Eric Bledsoe,21.1,4.8,6.3,1.4,0.5,0.434,0.335,0.847,0.118,33
Bojan Bogdanović,13.7,3.4,1.4,0.4,0.1,0.445,0.367,0.893,0.067,25.7
Andrew Bogut,2.9,8.1,1.8,0.5,0.9,0.469,0,0.273,0.055,21.6
Joel Bolomboy,1.8,1.4,0.2,0.1,0.2,0.563,0.25,0.5,0.171,4.4
Devin Booker,22.1,3.2,3.4,0.9,0.3,0.423,0.363,0.832,0.035,35
Trevor Booker,10,8,1.9,1.1,0.4,0.516,0.321,0.673,0.086,24.7
Avery Bradley,16.3,6.1,2.2,1.2,0.2,0.463,0.39,0.731,0.081,33.4
Corey Brewer,4.5,2,1.2,0.7,0.2,0.422,0.229,0.735,0.045,15.6
Malcolm Brogdon,10.2,2.8,4.2,1.1,0.2,0.457,0.404,0.865,0.1,26.4
Aaron Brooks,5,1.1,1.9,0.4,0.1,0.403,0.375,0.8,0.016,13.8
