Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48,MP
Matt Walsh,1,0,0,0,0,1,,0,-0.642,1.5
Luke Walton,5,3.6,2.3,0.6,0.2,0.412,0.327,0.75,0.071,19.3
Hakim Warrick,4.1,2.1,0.4,0.2,0.3,0.443,,0.661,0.053,10.6
Earl Watson,8.9,2.3,4.1,1,0.1,0.43,0.404,0.676,0.081,22.5
Chris Webber,20.2,9.9,3.4,1.4,0.8,0.434,0.273,0.756,0.074,38.6
Martell Webster,6.6,2.1,0.6,0.3,0.2,0.399,0.357,0.859,0.039,17.5
Bonzi Wells,13.6,7.7,2.8,1.8,0.5,0.463,0.222,0.679,0.096,32.4
Jiří Welsch,4.3,1.9,1.1,0.6,0,0.387,0.286,0.747,0.043,14.9
David Wesley,9.9,2.5,2.9,0.8,0.1,0.403,0.365,0.807,0.072,33.4
David West,17.1,7.4,1.2,0.8,0.9,0.512,0.273,0.843,0.141,34.1
Delonte West,11.8,4.1,4.6,1.2,0.6,0.487,0.385,0.851,0.114,34.1
Robert Whaley,2.1,1.9,0.7,0.3,0.3,0.404,,0.5,0.004,9.2
Chris Wilcox,8.1,5.3,0.7,0.4,0.4,0.571,0,0.732,0.138,19.9
Damien Wilkins,6.5,2.3,1.3,0.9,0.1,0.444,0.25,0.84,0.054,18.6
Mike Wilks,1.8,0.8,0.7,0.3,0,0.322,0.158,0.61,-0.042,7.4
Aaron Williams,4.6,3.8,0.4,0.4,0.4,0.517,,0.69,0.096,16.5
Alvin Williams,1,3,0,0,0,0,0,0.5,-0.278,10
Deron Williams,10.8,2.4,4.5,0.8,0.2,0.421,0.416,0.704,0.059,28.8
Eric Williams,3.3,1.8,0.5,0.3,0.1,0.387,0.278,0.737,0.011,12.6
Jason Williams,12.3,2.4,4.9,0.9,0.1,0.442,0.372,0.867,0.124,31.8
Lou Williams,1.9,0.6,0.3,0.2,0,0.442,0.222,0.615,-0.036,4.8
Marvin Williams,8.5,4.8,0.8,0.6,0.3,0.443,0.245,0.747,0.069,24.7
Mo Williams,12.1,2.5,4,0.9,0.1,0.424,0.382,0.85,0.079,26.4
Corliss Williamson,3.4,1.8,0.4,0.2,0.1,0.417,1,0.776,0.021,9.8
Loren Woods,2.3,4.1,0.1,0.3,0.9,0.475,0,0.429,0.064,12
Qyntel Woods,6.7,3.9,1,0.7,0.3,0.508,0.367,0.645,0.061,20.7
Metta World Peace,17.6,5.1,3.6,2.2,0.7,0.404,0.308,0.675,0.081,39.4
Antoine Wright,1.8,0.8,0.3,0.1,0.1,0.358,0.067,0.5,-0.062,9.5
Bracey Wright,8.9,2.6,0.7,0.1,0,0.412,0.353,0.875,0.054,19.3
Dorell Wright,2.9,1.6,0.4,0.2,0.1,0.465,0.5,0.882,0.064,6.6
Lorenzen Wright,5.8,5.1,0.6,0.7,0.6,0.478,0,0.564,0.106,21.7
Derrick Zimmerman,2,2,3.5,0,0,0.667,,,0.004,16
