Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48,MP
Precious Achiuwa,7.6,6.6,1.3,0.6,0.9,0.501,0.268,0.616,0.102,21.9
Bam Adebayo,19.3,10.4,3.9,1.1,0.9,0.521,0.357,0.755,0.144,34
Ochai Agbaji,5.8,2.8,1.1,0.6,0.6,0.411,0.294,0.661,0.002,21
Santi Aldama,10.7,5.8,2.3,0.7,0.9,0.435,0.349,0.621,0.07,26.5
Nickeil Alexander-Walker,8,2,2.5,0.8,0.5,0.439,0.391,0.8,0.107,23.4
Grayson Allen,13.5,3.9,3,0.9,0.6,0.499,0.461,0.878,0.132,33.5
Jarrett Allen,16.5,10.5,2.7,0.7,1.1,0.634,0,0.742,0.21,31.7
Timmy Allen,2.6,3.4,1,0.8,0,0.261,0,0.5,-0.041,25
Jose Alvarado,7.1,2.3,2.1,1.1,0.3,0.412,0.377,0.673,0.097,18.4
Kyle Anderson,6.4,3.5,4.2,0.9,0.6,0.46,0.229,0.708,0.121,22.6
Giannis Antetokounmpo,30.4,11.5,6.5,1.2,1.1,0.611,0.274,0.657,0.246,35.2
Thanasis Antetokounmpo,0.9,0.4,0.5,0.2,0.1,0.533,0,0,-0.01,4.6
Cole Anthony,11.6,3.8,2.9,0.8,0.5,0.435,0.338,0.826,0.096,22.4
OG Anunoby,14.7,4.2,2.1,1.4,0.7,0.489,0.382,0.753,0.073,34
Ryan Arcidiacono,0,0.4,0.2,0.1,0,0,0,,-0.089,2.3
Deni Avdija,14.7,7.2,3.8,0.8,0.5,0.506,0.374,0.74,0.068,30.1
Deandre Ayton,16.7,11.1,1.6,1,0.8,0.57,0.1,0.823,0.106,32.4
Udoka Azubuike,2.2,2,0.2,0.1,0.4,0.696,,0.231,0.1,7.1
Ibou Badji,1.5,2.3,0.6,0.1,0.9,0.636,,0.5,0.046,10.3
Marvin Bagley III,11.7,6.2,1.1,0.4,0.7,0.586,0.391,0.762,0.122,21.1
Amari Bailey,2.3,0.9,0.7,0.3,0,0.333,0.125,0.857,-0.044,6.5
Patrick Baldwin Jr.,4.4,3.2,0.8,0.5,0.4,0.381,0.32,0.679,0.019,13
LaMelo Ball,23.9,5.1,8,1.8,0.2,0.433,0.355,0.865,0.074,32.3
Mo Bamba,4.4,4.2,0.7,0.4,1.1,0.49,0.391,0.68,0.128,13
Paolo Banchero,22.6,6.9,5.4,0.9,0.6,0.455,0.339,0.725,0.09,35
Desmond Bane,23.7,4.4,5.5,1,0.5,0.464,0.381,0.87,0.102,34.4
Dalano Banton,10.3,3.3,2.4,0.6,0.4,0.404,0.296,0.783,0.024,19.4
Dominick Barlow,4.4,3.4,1.1,0.4,0.4,0.496,0.333,0.69,0.126,12.7
Harrison Barnes,12.2,3,1.2,0.7,0.1,0.474,0.387,0.801,0.094,29
Scottie Barnes,19.9,8.2,6.1,1.3,1.5,0.475,0.341,0.781,0.098,34.9
RJ Barrett,20.2,5.4,3.3,0.5,0.4,0.495,0.36,0.715,0.075,31.7
Charles Bassey,3.3,4,1.1,0.4,0.9,0.725,0,0.833,0.157,10.8
Emoni Bates,2.7,0.9,0.7,0.1,0.1,0.306,0.303,0.25,-0.092,8.9
Keita Bates-Diop,3.7,2.1,0.7,0.5,0.4,0.434,0.304,0.762,0.091,12.5
Nicolas Batum,5.3,4.1,2.1,0.8,0.6,0.453,0.395,0.714,0.103,25.5
Darius Bazley,5.3,3.1,0.8,0.7,0.8,0.6,0.25,0.833,0.084,16.9
Bradley Beal,18.2,4.4,5,1,0.5,0.513,0.43,0.813,0.107,33.3
Malik Beasley,11.3,3.7,1.4,0.7,0.1,0.443,0.413,0.714,0.073,29.6
MarJon Beauchamp,4.4,2.1,0.6,0.3,0.1,0.488,0.4,0.679,0.056,12.7
Jules Bernard,3.9,1.4,0.8,0.2,0.1,0.453,0.379,0.556,0.026,7.8
Dāvis Bertāns,6.7,1.4,0.8,0.6,0.3,0.393,0.38,0.909,0.061,15.7
Patrick Beverley,6.2,3.3,2.9,0.6,0.4,0.417,0.337,0.822,0.09,20
Saddiq Bey,13.7,6.5,1.5,0.8,0.2,0.416,0.316,0.837,0.081,32.7
Goga Bitadze,5,4.6,1.3,0.5,1.2,0.603,0.143,0.655,0.186,15.4
Onuralp Bitim,3.5,1.4,0.6,0.1,0.1,0.381,0.273,0.8,-0.027,11.7
Bismack Biyombo,4.4,5.2,1.3,0.3,0.9,0.565,,0.481,0.066,19.8
Anthony Black,4.6,2,1.3,0.5,0.3,0.466,0.394,0.613,0.067,16.9
Leaky Black,2.7,1.8,0.9,0.3,0.4,0.481,0.45,0.667,0.084,10.9
Buddy Boeheim,3.4,1,0.3,0,0.1,0.31,0.32,0.8,0.047,8.4
Bogdan Bogdanović,16.9,3.4,3.1,1.2,0.3,0.428,0.374,0.921,0.079,30.4
Bojan Bogdanović,15.2,2.7,1.7,0.5,0.1,0.454,0.398,0.785,0.034,25.9
Bol Bol,5.2,3.2,0.4,0.2,0.6,0.616,0.423,0.789,0.168,10.9
Marques Bolden,3.4,3.1,0.4,0.3,0.6,0.68,0,0.75,0.134,11
Devin Booker,27.1,4.5,6.9,0.9,0.4,0.492,0.364,0.886,0.181,36
Brandon Boston Jr.,5.2,1.6,0.4,0.3,0.3,0.404,0.269,0.697,-0.04,10.8
Chris Boucher,6.4,4.1,0.5,0.3,0.5,0.507,0.33,0.772,0.119,14.1
James Bouknight,3.6,0.6,0.4,0.1,0.1,0.439,0.433,0.5,0.062,5.8
Jamaree Bouyea,2.3,2.1,1.2,0.1,0,0.357,0.111,,-0.129,10.6
Malaki Branham,9.2,2,2.1,0.4,0.1,0.432,0.347,0.873,-0.008,21.3
Christian Braun,7.3,3.7,1.6,0.5,0.4,0.46,0.384,0.694,0.1,20.2
Mikal Bridges,19.6,4.5,3.6,1,0.4,0.436,0.372,0.814,0.07,34.8
Miles Bridges,21,7.3,3.3,0.9,0.5,0.462,0.349,0.825,0.04,37.4
Oshae Brissett,3.7,2.9,0.8,0.3,0.1,0.444,0.273,0.602,0.131,11.5
Izaiah Brockington,4,2,0,0,0,0.4,0,,-0.177,3
Malcolm Brogdon,15.7,3.8,5.5,0.7,0.2,0.44,0.412,0.819,0.111,28.7
Armoni Brooks,4.2,1.8,0.5,0.1,0.1,0.326,0.344,0.5,-0.018,10.4
Dillon Brooks,12.7,3.4,1.7,0.9,0.1,0.428,0.359,0.844,0.058,30.9
Bruce Brown,10.8,4.2,2.9,0.9,0.3,0.478,0.323,0.824,0.058,27.9
Charlie Brown Jr.,0.8,0.3,0,0,0.3,0.2,0.286,,-0.124,4.6
Greg Brown III,2.5,1.5,0.7,0,0.7,0.455,0.333,0.444,0,6.7
Jaylen Brown,23,5.5,3.6,1.2,0.5,0.499,0.354,0.703,0.121,33.5
Kendall Brown,1.4,0.3,0.3,0,0,0.533,0,0.625,0.045,4.2
Kobe Brown,2,1.4,0.6,0.3,0.1,0.411,0.292,0.5,0.055,9
Moses Brown,3.4,3.9,0.3,0.2,0.3,0.508,,0.29,0.044,9.1
Troy Brown Jr.,4.2,2.4,1,0.4,0.1,0.372,0.333,0.865,0.048,14
Jalen Brunson,28.7,3.6,6.7,0.9,0.2,0.479,0.401,0.847,0.198,35.4
Thomas Bryant,5.7,3.7,0.6,0.3,0.4,0.577,0.182,0.872,0.177,11.6
Kobe Bufkin,4.8,1.9,1.6,0.4,0.3,0.37,0.225,0.5,-0.031,11.5
Reggie Bullock,2.2,1.7,0.3,0.3,0.1,0.415,0.403,1,0.072,9.5
Alec Burks,10.4,2.3,1.3,0.4,0.2,0.369,0.376,0.868,0.054,18.4
Jared Butler,6.3,1.5,3.2,0.7,0.2,0.488,0.308,0.861,0.054,14.2
Jimmy Butler,20.8,5.3,5,1.3,0.3,0.499,0.414,0.858,0.214,34
Jamal Cain,3.7,1.4,0.4,0.4,0.2,0.43,0.355,0.783,0.089,10
Kentavious Caldwell-Pope,10.1,2.4,2.4,1.3,0.6,0.46,0.406,0.894,0.096,31.6
Toumani Camara,7.5,4.9,1.2,0.9,0.5,0.45,0.337,0.758,0.055,24.8
Clint Capela,11.5,10.6,1.2,0.6,1.5,0.571,0,0.631,0.161,25.8
Jevon Carter,5,0.8,1.3,0.5,0.2,0.378,0.329,0.571,0.009,13.9
Wendell Carter Jr.,11,6.9,1.7,0.6,0.5,0.525,0.374,0.694,0.149,25.6
D.J. Carton,2.8,1,0.8,0.3,0,0.375,0.25,0.8,0.062,9
Alex Caruso,10.1,3.8,3.5,1.7,1,0.468,0.408,0.76,0.115,28.7
Colin Castleton,1.5,0.8,0.2,0.1,0,0.563,,1,0.128,3.7
Malcolm Cazalon,0,0,0,0,0,,,,-0.012,3
