Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48,MP
Julian Champagnie,6.8,2.8,1.4,0.6,0.6,0.408,0.365,0.815,0.059,19.8
Justin Champagnie,5.9,3.5,1.3,0.7,0.6,0.41,0.289,0.8,0.058,15.7
Max Christie,4.2,2.1,0.9,0.3,0.3,0.427,0.356,0.783,0.036,14.1
Sidy Cissoko,3.8,1.8,0.8,0.6,0.3,0.485,0.083,0.8,0.11,11.8
Brandon Clarke,11.3,5.3,1.5,0.8,1,0.559,0.167,0.143,0.108,22.3
Jordan Clarkson,17.1,3.4,5,0.6,0.1,0.413,0.294,0.881,0.006,30.6
Nic Claxton,11.8,9.9,2.1,0.6,2.1,0.629,0.2,0.551,0.152,29.8
Noah Clowney,5.8,3.5,0.8,0.3,0.7,0.538,0.364,0.7,0.111,16.1
Amir Coffey,6.6,2.1,1.1,0.6,0.2,0.472,0.38,0.859,0.084,20.9
John Collins,15.1,8.5,1.1,0.6,0.9,0.532,0.371,0.795,0.11,28
Zach Collins,11.2,5.4,2.8,0.5,0.8,0.484,0.32,0.753,0.057,22.1
Mike Conley,11.4,2.9,5.9,1.2,0.2,0.457,0.442,0.911,0.18,28.9
Pat Connaughton,5.6,3.1,2.1,0.5,0.3,0.435,0.345,0.759,0.08,22.1
Bilal Coulibaly,8.4,4.1,1.7,0.9,0.8,0.435,0.346,0.702,0.013,27.2
Ricky Council IV,5.4,1.4,0.5,0.3,0,0.482,0.375,0.746,0.173,9
Robert Covington,4.4,3.3,0.8,1.3,0.6,0.439,0.339,0.846,0.145,16.8
Torrey Craig,5.7,4.1,1.1,0.6,0.4,0.43,0.392,0.75,0.087,19.8
Jae Crowder,6.2,3.2,1.3,0.8,0.2,0.422,0.349,0.722,0.065,23.1
Jalen Crutcher,0,0,0,0,0,0,,,-0.334,3
Cade Cunningham,22.7,4.3,7.5,0.9,0.4,0.449,0.355,0.869,0.041,33.5
Seth Curry,5.1,1.5,1,0.5,0.1,0.392,0.352,0.903,0.04,14
Stephen Curry,26.4,4.5,5.1,0.7,0.4,0.45,0.408,0.923,0.142,32.7
Dyson Daniels,5.8,3.9,2.7,1.4,0.4,0.447,0.311,0.642,0.103,22.3
Anthony Davis,24.7,12.6,3.5,1.2,2.3,0.556,0.271,0.816,0.21,35.5
Johnny Davis,3,1.4,0.6,0.4,0.2,0.403,0.35,0.583,-0.009,12.3
JD Davison,2,1.3,1.3,0.1,0.1,0.417,0.429,0.75,0.228,4.9
Dexter Dennis,5.5,2.3,1,0,0.3,0.526,0.125,0.333,0.004,7.5
DeMar DeRozan,24,4.3,5.3,1.1,0.6,0.48,0.333,0.853,0.147,37.8
Moussa Diabaté,2.6,2.2,0.4,0.5,0.1,0.526,,0.643,0.25,5.8
Mamadi Diakite,2,0.7,0.3,0.2,0.2,0.667,0,0.667,0.168,4
Hamidou Diallo,1,1,0.5,1,0,0.5,,,0.204,2.5
Gradey Dick,8.5,2.2,1.1,0.6,0,0.425,0.365,0.863,0.01,21.1
Ousmane Dieng,4,1.5,1.1,0.2,0.2,0.422,0.3,0.875,0.055,11.1
Spencer Dinwiddie,10.5,2.7,4.7,0.7,0.3,0.392,0.337,0.805,0.081,28.3
Donte DiVincenzo,15.5,3.7,2.7,1.3,0.4,0.443,0.401,0.754,0.135,29.1
Luka Dončić,33.9,9.2,9.8,1.4,0.5,0.487,0.382,0.786,0.22,37.5
Luguentz Dort,10.9,3.6,1.4,0.9,0.6,0.438,0.394,0.826,0.097,28.4
Ayo Dosunmu,12.2,2.8,3.2,0.9,0.5,0.501,0.403,0.81,0.089,29.1
Jeff Dowtin,4.3,1.7,2.3,0.6,0.1,0.556,0.474,0.75,0.193,11.8
Henri Drell,2.8,1,1,0.5,0.3,0.4,0.333,0.5,0.047,7.5
Andre Drummond,8.4,9,0.5,0.9,0.6,0.556,0,0.592,0.175,17.1
Chris Duarte,3.9,1.8,0.7,0.5,0.1,0.381,0.346,0.788,0.047,12.2
David Duke Jr.,6.5,2.5,1.3,0.5,0,0.556,0.5,1,0.119,12.8
Kris Dunn,5.4,2.9,3.8,1,0.4,0.47,0.369,0.688,0.076,18.9
Kevin Durant,27.1,6.6,5,0.9,1.2,0.523,0.413,0.856,0.142,37.2
Jalen Duren,13.8,11.6,2.4,0.5,0.8,0.619,0,0.79,0.13,29.1
Tari Eason,9.8,7,1.2,1.4,0.9,0.466,0.36,0.636,0.125,21.8
Anthony Edwards,25.9,5.4,5.1,1.3,0.5,0.461,0.357,0.836,0.13,35.1
Kessler Edwards,1.7,0.8,0.3,0.2,0.1,0.415,0.385,0.556,0.083,5.1
Keon Ellis,5.4,2.2,1.5,0.9,0.5,0.461,0.417,0.743,0.114,17.2
Joel Embiid,34.7,11,5.6,1.2,1.7,0.529,0.388,0.883,0.275,33.6
Drew Eubanks,5.1,4.3,0.8,0.4,0.8,0.601,1,0.774,0.129,15.6
Tosan Evbuomwan,5.9,3.5,0.9,0.4,0.3,0.507,0.375,0.68,0.071,21.6
Dante Exum,7.8,2.7,2.9,0.4,0.1,0.533,0.491,0.779,0.127,19.8
Bruno Fernando,6.3,4.3,1,0.6,0.6,0.583,0,0.667,0.103,15.2
Dorian Finney-Smith,8.5,4.7,1.6,0.8,0.6,0.421,0.348,0.717,0.065,28.4
Adam Flagler,1.5,0,2,0,0,0.143,0.167,,-0.159,7
Malachi Flynn,5.5,1.7,1.9,0.6,0.1,0.418,0.331,0.732,0.029,12.7
Simone Fontecchio,10.5,3.7,1.5,0.7,0.3,0.46,0.401,0.818,0.061,24.9
Jordan Ford,2,0.3,0.3,0,0,0.571,0.667,1,0.157,3.7
Trent Forrest,2.2,1.3,2.4,0.3,0.1,0.378,0.2,0.765,0.027,10.9
Evan Fournier,6.9,1.8,1.5,0.9,0.2,0.357,0.254,0.806,-0.005,18.1
De'Aaron Fox,26.6,4.6,5.6,2,0.4,0.465,0.369,0.738,0.117,35.9
Javon Freeman-Liberty,7,3.2,1.8,0.5,0.2,0.444,0.238,0.917,0.029,18.3
Alex Fudge,2.5,0.8,0,0.5,0,0.4,0.2,1,-0.007,6.7
Markelle Fultz,7.8,3.2,2.8,1,0.3,0.472,0.222,0.697,0.069,21.2
Andrew Funk,0,0,0,0.2,0.2,0,0,,-0.252,2.6
Wenyen Gabriel,3.4,5,0.6,0.4,0.4,0.364,0.167,0,-0.123,16.2
Daniel Gafford,11,7.6,1.6,0.9,2.1,0.725,,0.674,0.205,24.5
Danilo Gallinari,5.7,2.2,1.1,0.3,0.1,0.437,0.323,0.857,0.098,12.9
Darius Garland,18,2.7,6.5,1.3,0.1,0.446,0.371,0.834,0.067,33.4
Usman Garuba,0.5,1.2,0.2,0.2,0.5,0.167,0,0.5,-0.124,3
Luka Garza,4,1.2,0.2,0.2,0,0.48,0.281,0.72,0.166,4.9
Kaiser Gates,0,1,0,0,0,0,0,,-0.558,7
Keyonte George,13,2.8,4.4,0.5,0.1,0.391,0.334,0.848,-0.008,27
Paul George,22.6,5.2,3.5,1.5,0.5,0.471,0.413,0.907,0.14,33.8
Taj Gibson,1.7,1.9,0.6,0.2,0.4,0.405,0.2,1,0.044,10.2
Josh Giddey,12.3,6.4,4.8,0.6,0.6,0.475,0.337,0.806,0.102,25.1
Harry Giles,2.4,1.3,0.3,0.1,0.1,0.46,0.214,0.538,0.027,4.3
Shai Gilgeous-Alexander,30.1,5.5,6.2,2,0.9,0.535,0.353,0.874,0.275,34
Anthony Gill,3.8,1.9,0.7,0.3,0.2,0.469,0.244,0.806,0.038,9.3
Collin Gillespie,3.6,0.9,1.1,0.5,0,0.464,0.395,0.667,0.076,9.4
Jacob Gilyard,4.2,1.1,3.3,0.8,0.1,0.4,0.405,1,0.095,17
Rudy Gobert,14,12.9,1.3,0.7,2.1,0.661,0,0.638,0.216,34.1
Jordan Goodwin,6.5,4.4,2.7,0.8,0.3,0.369,0.298,0.746,0.054,18.5
Aaron Gordon,13.9,6.5,3.5,0.8,0.6,0.556,0.29,0.658,0.148,31.5
Eric Gordon,11,1.8,2,1,0.4,0.443,0.378,0.797,0.063,27.8
Devonte' Graham,5,1.6,2.1,0.4,0.1,0.352,0.301,0.813,0.018,13.6
Jerami Grant,21,3.5,2.8,0.8,0.6,0.451,0.402,0.817,0.071,33.9
RaiQuan Gray,7.7,2.3,2,0.3,0.3,0.588,0.429,,0.187,13
A.J. Green,4.5,1.1,0.5,0.2,0.1,0.423,0.408,0.895,0.084,11
Danny Green,0,1,0.5,0.5,0,0,0,,-0.035,9
Draymond Green,8.6,7.2,6,1,0.9,0.497,0.395,0.73,0.116,27.1
Jalen Green,19.6,5.2,3.5,0.8,0.3,0.423,0.332,0.804,0.056,31.7
Javonte Green,12.2,7.4,0.6,1.1,0.9,0.6,0.37,0.769,0.18,25.6
Jeff Green,6.5,2.3,0.9,0.2,0.4,0.456,0.331,0.819,0.095,16.8
Josh Green,8.2,3.2,2.3,0.8,0.2,0.479,0.385,0.684,0.071,26.4
AJ Griffin,2.4,0.9,0.3,0.1,0.1,0.29,0.256,1,-0.12,8.6
Quentin Grimes,7,2,1.3,0.7,0.1,0.372,0.338,0.756,0.06,20.1
Mouhamadou Gueye,2.4,2.1,0.5,0.3,1.6,0.289,0,0.444,-0.147,10.9
Mouhamed Gueye,4,3.7,0.7,0.8,0.7,0.348,0.333,0.833,0.127,12.2
Rui Hachimura,13.6,4.3,1.2,0.6,0.4,0.537,0.422,0.739,0.108,26.9
Ashton Hagans,4.2,2.4,2.8,0.6,0.5,0.408,0.32,0.824,0.006,16.6
Tyrese Haliburton,20.1,3.9,10.9,1.2,0.7,0.477,0.364,0.855,0.195,32.2
R.J. Hampton,1.3,0.8,1,0,0,0.286,0.125,0.5,-0.038,9.5
Tim Hardaway Jr.,14.4,3.2,1.8,0.5,0.1,0.402,0.353,0.852,0.05,26.8
James Harden,16.6,5.1,8.5,1.1,0.8,0.428,0.381,0.878,0.163,34.3
Jaden Hardy,7.3,1.8,1.5,0.3,0.1,0.407,0.362,0.776,0.014,13.5
Ron Harper Jr.,0,0,1,0,0,,,,0.087,4
Gary Harris,6.9,1.7,1.6,0.9,0.3,0.441,0.371,0.756,0.099,24
Joe Harris,2.4,0.8,0.6,0.2,0.1,0.359,0.333,0.5,0.001,10.6
Kevon Harris,2,1,0.5,0,0,0.667,,,0.038,3
Tobias Harris,17.2,6.5,3.1,1,0.7,0.487,0.353,0.878,0.121,33.8
Shaquille Harrison,0.7,0.7,0,0,0.3,0.5,,,0.09,2
Josh Hart,9.4,8.3,4.1,0.9,0.3,0.434,0.31,0.791,0.1,33.4
Isaiah Hartenstein,7.8,8.3,2.5,1.2,1.1,0.644,0.333,0.707,0.204,25.3
Sam Hauser,9,3.5,1,0.5,0.3,0.446,0.424,0.895,0.134,22
Jordan Hawkins,7.8,2.2,1,0.3,0.1,0.382,0.366,0.838,0.053,17.3
Jaxson Hayes,4.3,3,0.5,0.5,0.4,0.72,0,0.622,0.135,12.5
Killian Hayes,6.9,2.8,4.9,0.9,0.5,0.413,0.297,0.66,0.032,24
Gordon Hayward,9.8,3.5,3.1,0.8,0.3,0.464,0.411,0.742,0.058,24.4
Scoot Henderson,14,3.1,5.4,0.8,0.2,0.385,0.325,0.819,-0.045,28.5
Taylor Hendricks,7.3,4.6,0.8,0.7,0.8,0.45,0.379,0.793,0.07,21.4
Tyler Herro,20.8,5.3,4.5,0.7,0.1,0.441,0.396,0.856,0.068,33.5
Buddy Hield,12.1,3.2,2.8,0.8,0.5,0.436,0.386,0.881,0.077,25.7
Haywood Highsmith,6.1,3.2,1.1,0.8,0.5,0.465,0.396,0.639,0.108,20.7
Nate Hinton,2.2,1.5,0.7,0.2,0.1,0.423,0.5,0.8,0.187,5
D'Moi Hodge,2,0,0.7,0.1,0.1,0.333,0.25,0.5,-0.019,5.9
Aaron Holiday,6.6,1.6,1.8,0.5,0.1,0.446,0.387,0.921,0.094,16.3
Jrue Holiday,12.5,5.4,4.8,0.9,0.8,0.48,0.429,0.833,0.133,32.8
Justin Holiday,4,1.2,1.2,0.6,0.2,0.454,0.404,0.75,0.101,14.9
Richaun Holmes,5,4.6,0.6,0.3,0.5,0.558,0.333,0.723,0.114,13.9
Chet Holmgren,16.5,7.9,2.4,0.6,2.3,0.53,0.37,0.793,0.178,29.4
Jalen Hood-Schifino,1.6,0.6,0.4,0.1,0.1,0.222,0.133,0.6,-0.222,5.2
Al Horford,8.6,6.4,2.6,0.6,1,0.511,0.419,0.867,0.172,26.8
Talen Horton-Tucker,10.1,2.4,3.5,0.9,0.4,0.396,0.33,0.807,0.039,19.8
Danuel House Jr.,4.2,1.7,0.8,0.4,0.1,0.448,0.3,0.761,0.066,15
Caleb Houstan,4.3,1.4,0.5,0.3,0.1,0.388,0.373,0.808,0.089,13.8
Jett Howard,1.6,0.4,0.3,0.1,0.1,0.333,0.28,0.5,0.005,3.7
Kevin Huerter,10.2,3.5,2.6,0.7,0.4,0.443,0.361,0.766,0.089,24.4
Jay Huff,1.2,0.6,0.1,0.1,0.2,0.6,0.333,1,0.212,2.5
De'Andre Hunter,15.6,3.9,1.5,0.7,0.3,0.459,0.385,0.847,0.062,29.5
Matthew Hurt,4,2,0.5,0.4,0.4,0.353,0.25,1,0.031,14.1
Bones Hyland,6.9,1.5,2.5,0.7,0.1,0.386,0.326,0.783,0.003,14.6
Joe Ingles,4.4,2.1,3,0.6,0.1,0.436,0.435,0.824,0.108,17.2
Brandon Ingram,20.8,5.1,5.7,0.8,0.6,0.492,0.355,0.801,0.117,32.9
Kyrie Irving,25.6,5,5.2,1.3,0.5,0.497,0.411,0.905,0.163,35
Jonathan Isaac,6.8,4.5,0.5,0.7,1.2,0.51,0.375,0.72,0.188,15.8
Jaden Ivey,15.4,3.4,3.8,0.7,0.5,0.429,0.336,0.749,0.01,28.8
Andre Jackson Jr.,2.2,2,0.9,0.3,0.1,0.5,0.37,0.727,0.081,10
GG Jackson II,14.6,4.1,1.2,0.6,0.5,0.428,0.357,0.752,0.048,25.7
Isaiah Jackson,6.5,4,0.8,0.6,1,0.665,0,0.716,0.204,13.1
Jaren Jackson Jr.,22.5,5.5,2.3,1.2,1.6,0.444,0.32,0.808,0.067,32.2
Justin Jackson,0,0,0,0,0,,,,0.031,0.5
Quenton Jackson,0.7,1.3,0.7,0.3,0,0,,1,0.203,3.7
Reggie Jackson,10.2,1.9,3.8,0.5,0.2,0.431,0.359,0.806,0.056,22.2
Trayce Jackson-Davis,7.9,5,1.2,0.4,1.1,0.702,0,0.561,0.205,16.6
LeBron James,25.7,7.3,8.3,1.3,0.5,0.54,0.41,0.75,0.164,35.3
Jaime Jaquez Jr.,11.9,3.8,2.6,1,0.3,0.489,0.322,0.811,0.092,28.2
DeJon Jarreau,4.8,4.9,2.9,0.7,0.2,0.34,0.308,0.455,0.002,16.7
DaQuan Jeffries,0.8,0.3,0.3,0,0.1,0.353,0.2,0,-0.087,2.7
Trey Jemison,6.8,5.4,1.1,0.5,1.1,0.551,,0.84,0.073,22.9
Ty Jerome,2,0.5,1.5,0,0,0.5,0,,0.04,7.5
Isaiah Joe,8.2,2.3,1.3,0.6,0.3,0.458,0.416,0.865,0.116,18.5
Cameron Johnson,13.4,4.3,2.4,0.8,0.3,0.446,0.391,0.789,0.1,27.6
Jalen Johnson,16,8.7,3.6,1.2,0.8,0.511,0.355,0.728,0.098,33.7
James Johnson,0.9,0.4,0.9,0.6,0.1,0.3,0,1,-0.05,5.2
Keldon Johnson,15.7,5.5,2.8,0.7,0.3,0.454,0.346,0.792,0.071,29.5
Keon Johnson,6.2,1.4,0.6,0.6,0.2,0.381,0.4,0.917,0.068,12.2
Keyontae Johnson,1.2,1.1,0.4,0.1,0,0.313,0.333,,-0.068,7.3
Nikola Jokić,26.4,12.4,9,1.4,0.9,0.583,0.359,0.817,0.299,34.6
Colby Jones,2.1,1.3,0.7,0.2,0.2,0.394,0.091,0.545,0.007,6.4
Damian Jones,2.7,1.6,0.4,0.2,0.3,0.597,0.214,0.857,0.15,6.9
Derrick Jones Jr.,8.6,3.3,1,0.7,0.7,0.483,0.343,0.713,0.083,23.5
Herbert Jones,11,3.6,2.6,1.4,0.8,0.498,0.418,0.867,0.131,30.5
Mason Jones,1.4,1,1,0.2,0,0.25,0.286,0.5,-0.018,5.6
Tre Jones,10,3.8,6.2,1,0.1,0.505,0.335,0.856,0.111,27.8
Tyus Jones,12,2.7,7.3,1.1,0.3,0.489,0.414,0.8,0.113,29.3
DeAndre Jordan,3.9,4.4,0.7,0.2,0.4,0.624,,0.491,0.147,11
Cory Joseph,2.4,1.2,1.6,0.2,0.1,0.359,0.31,0.571,0.034,11.4
Nikola Jović,7.7,4.2,2,0.5,0.3,0.452,0.399,0.702,0.103,19.5
Johnny Juzang,7.2,1.8,1.2,0.2,0.1,0.464,0.416,0.714,0.047,18.6
Luke Kennard,11,2.9,3.5,0.5,0.1,0.448,0.45,0.889,0.099,25.6
Walker Kessler,8.1,7.5,0.9,0.5,2.4,0.654,0.211,0.602,0.131,23.3
Braxton Key,1.1,0.9,0.5,0.1,0.1,0.412,0.4,0.75,0.18,3
Corey Kispert,13.4,2.8,2,0.5,0.2,0.486,0.383,0.726,0.048,25.8
Maxi Kleber,4.4,3.3,1.6,0.4,0.7,0.432,0.348,0.702,0.08,20.3
Kevin Knox,7.2,2.4,0.7,0.4,0.2,0.462,0.33,0.909,0.033,18.1
John Konchar,4.3,4.7,2,0.9,0.9,0.423,0.317,0.84,0.091,21.3
Furkan Korkmaz,2.5,0.9,0.7,0.4,0.1,0.395,0.35,0.7,0.057,8.6
Luke Kornet,5.3,4.1,1.1,0.4,1,0.7,1,0.907,0.248,15.6
Vit Krejci,6.1,2.4,2.3,0.6,0.3,0.49,0.412,0.833,0.056,24.6
Jonathan Kuminga,16.1,4.8,2.2,0.7,0.5,0.529,0.321,0.746,0.113,26.3
Kyle Kuzma,22.2,6.6,4.2,0.5,0.7,0.463,0.336,0.775,0.004,32.6
Jock Landale,4.9,3.1,1.2,0.4,0.6,0.515,0.25,0.8,0.146,13.6
Jake LaRavia,10.8,3.7,1.7,0.8,0.3,0.389,0.34,0.826,0.062,23
Zach LaVine,19.5,5.2,3.9,0.8,0.3,0.452,0.349,0.854,0.08,34.9
A.J. Lawson,3.2,1.2,0.5,0.2,0.1,0.446,0.26,0.652,0.036,7.4
Saben Lee,3,1.3,1.3,0.3,0.1,0.364,0.125,0.744,0.099,7.7
Alex Len,2.5,2.7,1,0.2,0.7,0.617,0,0.588,0.138,9.3
Kawhi Leonard,23.7,6.1,3.6,1.6,0.9,0.525,0.417,0.885,0.184,34.3
Caris LeVert,14,4.1,5.1,1.1,0.5,0.421,0.325,0.766,0.088,28.8
Kira Lewis Jr.,3.2,0.9,1.3,0.3,0.1,0.37,0.121,0.85,-0.005,9.5
Maxwell Lewis,0.3,0.1,0.2,0.1,0,0.19,0.111,0.667,-0.195,3
E.J. Liddell,0.5,0.6,0.1,0.3,0.3,0.167,0,1,-0.091,2.9
