Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48,MP
Tony Battie,2.4,1.5,0.2,0.3,0.1,0.35,0.25,0.7,-0.014,8.9
Shane Battier,8,4.7,2.4,0.8,1.1,0.398,0.362,0.726,0.095,32.4
Nicolas Batum,10.1,3.8,1.2,0.6,0.7,0.519,0.409,0.843,0.181,24.8
Jerryd Bayless,8.5,1.6,2.3,0.4,0.1,0.414,0.315,0.831,0.098,17.6
Michael Beasley,14.8,6.4,1.3,1,0.6,0.45,0.275,0.8,0.095,29.8
Rodrigue Beaubois,7.1,1.4,1.3,0.5,0.2,0.518,0.409,0.808,0.134,12.5
Marco Belinelli,7.1,1.4,1.3,0.6,0.1,0.406,0.38,0.835,0.049,17
Charlie Bell,6.5,1.9,1.5,0.5,0.2,0.381,0.365,0.716,0.06,22.7
Raja Bell,11.8,3.8,2.2,0.7,0.3,0.459,0.444,1,0.131,30
Jonathan Bender,4.7,2.1,0.6,0.1,0.7,0.4,0.359,0.923,-0.001,11.7
Mike Bibby,9.1,2.3,3.9,0.8,0,0.416,0.389,0.861,0.104,27.4
Andris Biedriņš,5,7.8,1.7,0.6,1.3,0.591,,0.16,0.101,23.1
Chauncey Billups,19.5,3.1,5.6,1.1,0.1,0.418,0.386,0.91,0.182,34.1
DeJuan Blair,7.8,6.4,0.8,0.6,0.5,0.556,0,0.547,0.147,18.2
Steve Blake,7.3,2.3,4.8,0.7,0.1,0.416,0.395,0.75,0.074,27
Andray Blatche,14.1,6.3,2.1,1,0.9,0.478,0.295,0.744,0.073,27.9
Keith Bogans,4.4,2.2,1.2,0.6,0.2,0.403,0.357,0.74,0.081,19.7
Andrew Bogut,15.9,10.2,1.8,0.6,2.5,0.52,0,0.629,0.161,32.3
Matt Bonner,7,3.3,1,0.5,0.4,0.446,0.39,0.729,0.153,17.9
Josh Boone,4,5,0.5,0.5,0.8,0.525,,0.328,0.084,16.6
Carlos Boozer,19.5,11.2,3.2,1.1,0.5,0.562,,0.742,0.178,34.3
Chris Bosh,24,10.8,2.4,0.6,1,0.518,0.364,0.797,0.182,36.1
Ryan Bowen,4,2,0,1,0,1,,1,0.509,8
Earl Boykins,6.6,1.1,2.6,0.4,0,0.427,0.317,0.865,0.042,16.7
Elton Brand,13.1,6.1,1.4,1.1,1.1,0.48,0,0.738,0.073,30.2
Corey Brewer,13,3.4,2.4,1.4,0.4,0.431,0.346,0.648,0.02,30.3
Ronnie Brewer,8.8,3.2,2.7,1.6,0.3,0.487,0.258,0.639,0.103,30
Primož Brezec,0.9,1.2,0,0,0.1,0.346,,0.167,-0.007,4.5
Jon Brockman,2.8,4.1,0.4,0.3,0.1,0.534,,0.597,0.125,12.6
Aaron Brooks,19.6,2.6,5.3,0.8,0.2,0.432,0.398,0.822,0.091,35.6
Bobby Brown,4.8,0.8,2,0.3,0,0.371,0.265,0.867,-0.05,11.5
Derrick Brown,3.3,1.4,0.3,0.4,0.2,0.463,0.286,0.667,0.114,9.4
Devin Brown,8,2.5,1.3,0.7,0.1,0.377,0.354,0.802,0.017,21.2
Kwame Brown,3.3,3.7,0.5,0.3,0.3,0.5,0,0.337,-0.009,13.8
Shannon Brown,8.1,2.2,1.3,0.7,0.4,0.427,0.328,0.818,0.096,20.7
Kobe Bryant,27,5.4,5,1.5,0.3,0.456,0.329,0.811,0.16,38.8
Chase Budinger,8.9,3,1.2,0.5,0.1,0.441,0.369,0.77,0.1,20.1
Caron Butler,16.3,6.2,2.1,1.6,0.3,0.428,0.29,0.838,0.061,37.6
Rasual Butler,11.9,2.9,1.4,0.4,0.8,0.409,0.336,0.841,0.048,33
Andrew Bynum,15,8.3,1,0.5,1.4,0.57,0,0.739,0.188,30.4
Will Bynum,10,2.3,4.5,0.9,0.1,0.444,0.218,0.798,0.054,26.5
José Calderón,10.3,2.1,5.9,0.7,0.1,0.482,0.398,0.798,0.111,26.7
Marcus Camby,7.5,11.8,2.5,1.3,2,0.475,0.286,0.639,0.142,31.3
Brian Cardinal,1.7,1,0.8,0.3,0.1,0.389,0.333,0.944,0.071,9.2
Rodney Carney,4.7,2,0.5,0.4,0.3,0.401,0.304,0.825,0.082,12.6
DeMarre Carroll,2.9,2.1,0.5,0.4,0.1,0.396,0,0.623,0.031,11.2
Matt Carroll,1.8,0.5,0.2,0.2,0,0.36,0.211,1,-0.029,4.8
Anthony Carter,3.3,1.6,3,0.7,0.2,0.42,0.27,0.846,0.051,15.9
Vince Carter,16.6,3.9,3.1,0.7,0.2,0.428,0.367,0.84,0.154,30.8
Omri Casspi,10.3,4.5,1.2,0.7,0.2,0.446,0.369,0.672,0.063,25.1
Mario Chalmers,7.1,1.8,3.4,1.2,0.2,0.401,0.318,0.745,0.072,24.8
Tyson Chandler,6.5,6.3,0.3,0.3,1.1,0.574,,0.732,0.12,22.8
Wilson Chandler,15.3,5.4,2.1,0.7,0.8,0.479,0.267,0.806,0.057,35.7
Earl Clark,2.7,1.2,0.4,0.1,0.3,0.371,0.4,0.722,-0.033,7.5
Jarron Collins,1,1.8,0.2,0.1,0.1,0.387,,0.4,0.01,7.7
Jason Collins,0.7,0.6,0.2,0.1,0.1,0.348,0,0,-0.044,4.8
Mardy Collins,2.6,1.2,1,0.5,0,0.367,0.235,0.619,-0.049,10.9
Darren Collison,12.4,2.5,5.7,1,0.1,0.477,0.4,0.851,0.067,27.8
Nick Collison,5.9,5.1,0.5,0.5,0.6,0.589,0.25,0.692,0.146,20.8
Mike Conley,12,2.4,5.3,1.4,0.2,0.445,0.387,0.743,0.074,32.1
Will Conroy,1.2,0.6,1.4,0,0,0.3,0,0,-0.192,7.2
Brian Cook,1.4,0.6,0.1,0,0.1,0.304,0.222,0.714,-0.191,2.9
Daequan Cook,5,1.8,1,0.3,0.2,0.32,0.317,0.84,0.01,15.4
Jamal Crawford,18,2.5,3,0.8,0.2,0.449,0.382,0.857,0.143,31.1
Dante Cunningham,3.9,2.5,0.2,0.4,0.3,0.495,0,0.646,0.129,11.2
Eddy Curry,3.7,1.9,0,0,0.1,0.381,,0.588,-0.258,8.9
JamesOn Curry,0,0,0,0,0,,,,,0
Stephen Curry,17.5,4.5,5.9,1.9,0.2,0.462,0.437,0.885,0.077,36.2
Samuel Dalembert,8.1,9.6,0.8,0.5,1.8,0.545,,0.729,0.118,25.9
Erick Dampier,6,7.3,0.6,0.3,1.4,0.624,0.333,0.604,0.14,23.3
Marquis Daniels,5.6,1.9,1.3,0.5,0.1,0.498,0.214,0.607,0.064,18.4
Baron Davis,15.3,3.5,8,1.7,0.6,0.406,0.277,0.821,0.086,33.6
Glen Davis,6.3,3.8,0.6,0.4,0.3,0.437,0,0.696,0.084,17.3
Paul Davis,2.5,0,1.5,0,0.5,0.5,,0.5,0.295,4
Ricky Davis,4.4,1.6,1.1,0.3,0.1,0.434,0.381,0.581,0.005,13.9
Austin Daye,5.1,2.5,0.5,0.4,0.4,0.464,0.305,0.821,0.067,13.3
Carlos Delfino,11,5.3,2.7,1.1,0.3,0.408,0.367,0.782,0.101,30.4
Luol Deng,17.6,7.3,2,0.9,0.9,0.466,0.386,0.764,0.106,37.9
DeMar DeRozan,8.6,2.9,0.7,0.6,0.2,0.498,0.25,0.763,0.066,21.6
Boris Diaw,11.3,5.2,4,0.7,0.7,0.483,0.32,0.769,0.103,35.4
Yakhouba Diawara,0.8,0.7,0.5,0.2,0,0.2,0.167,,-0.124,7.3
Travis Diener,0.7,0.3,0.9,0.4,0,0.2,0.143,0.25,0.019,5.7
DeSagana Diop,1.2,2.4,0.2,0.2,0.5,0.517,,0.222,0.072,9.7
Keyon Dooling,6.9,1,2.5,0.6,0,0.398,0.376,0.77,0.035,18.3
Joey Dorsey,1.5,2.9,0.1,0.2,0.1,0.45,,0.417,0.062,7.1
Toney Douglas,8.6,1.9,2,0.8,0.1,0.458,0.389,0.809,0.097,19.4
Chris Douglas-Roberts,9.8,3,1.4,0.8,0.3,0.445,0.259,0.847,0.02,25.8
Goran Dragić,7.9,2.1,3,0.6,0.1,0.452,0.394,0.736,0.094,18
Jared Dudley,8.2,3.4,1.4,1,0.2,0.459,0.458,0.754,0.129,24.3
Chris Duhon,7.4,2.7,5.6,0.9,0,0.373,0.349,0.716,0.045,30.9
Tim Duncan,17.9,10.1,3.2,0.6,1.5,0.518,0.182,0.725,0.215,31.3
Mike Dunleavy,9.9,3.5,1.5,0.6,0.2,0.41,0.318,0.842,0.075,22.2
Kevin Durant,30.1,7.6,2.8,1.4,1,0.476,0.365,0.9,0.238,39.5
Wayne Ellington,6.6,2.1,1,0.3,0.1,0.424,0.395,0.871,0.014,18.2
Monta Ellis,25.5,4,5.3,2.2,0.4,0.449,0.338,0.753,0.023,41.4
Francisco Elson,1,1.2,0.2,0.1,0,0.333,,0.4,0.022,5.5
Maurice Evans,5.7,1.9,0.6,0.4,0.2,0.445,0.337,0.754,0.114,16.7
Reggie Evans,3.4,3.8,0.3,0.5,0.1,0.493,,0.45,0.033,11.1
Tyreke Evans,20.1,5.3,5.8,1.5,0.4,0.458,0.255,0.748,0.097,37.2
Jordan Farmar,7.2,1.6,1.5,0.6,0.1,0.435,0.376,0.671,0.093,18
Raymond Felton,12.1,3.6,5.6,1.5,0.3,0.459,0.385,0.763,0.118,33
Rudy Fernández,8.1,2.6,2,1,0.2,0.378,0.368,0.867,0.101,23.2
Kyrylo Fesenko,2.6,1.8,0.3,0.1,0.4,0.547,0,0.421,0.07,8.3
Michael Finley,4.4,1.5,0.9,0.2,0.1,0.44,0.39,0.533,0.066,15.4
Derek Fisher,7.5,2.1,2.5,1.1,0.1,0.38,0.348,0.856,0.085,27.2
Jonny Flynn,13.5,2.4,4.4,1,0,0.417,0.358,0.826,0.002,28.9
T.J. Ford,10.3,3.2,3.8,0.9,0.2,0.445,0.16,0.77,0.058,25.3
Jeff Foster,3.1,5.1,1.3,0.2,0.3,0.478,0,0.556,0.085,15.9
Randy Foye,10.1,1.9,3.3,0.5,0.1,0.414,0.346,0.89,0.064,23.8
Channing Frye,11.2,5.3,1.4,0.8,0.9,0.451,0.439,0.81,0.141,27
Dan Gadzuric,2.8,2.9,0.4,0.3,0.4,0.438,,0.4,0.077,9.8
Sundiata Gaines,3.3,0.9,1.2,0.4,0,0.463,0.269,0.5,0.121,6.8
Danilo Gallinari,15.1,4.9,1.7,0.9,0.7,0.423,0.381,0.818,0.098,33.9
Francisco García,8.1,2.6,1.8,0.4,0.8,0.466,0.39,0.882,0.081,23
Kevin Garnett,14.3,7.3,2.7,1,0.8,0.521,0.2,0.837,0.171,29.9
Marc Gasol,14.6,9.3,2.4,1,1.6,0.581,0,0.67,0.164,35.8
Pau Gasol,18.3,11.3,3.4,0.6,1.7,0.536,0,0.79,0.22,37
Rudy Gay,19.6,5.9,1.9,1.5,0.8,0.466,0.327,0.753,0.096,39.7
Alonzo Gee,7.4,3,0.6,0.6,0.1,0.475,0.778,0.621,0.108,16.5
Devean George,5.4,2.5,0.7,0.9,0.2,0.432,0.39,0.696,0.084,16.9
Daniel Gibson,6.3,1.3,1.3,0.4,0.1,0.466,0.477,0.694,0.117,19.1
Taj Gibson,9,7.5,0.9,0.6,1.3,0.494,,0.646,0.103,26.9
J.R. Giddens,2.2,1.6,0.4,0.3,0.1,0.467,0,0.565,0.021,7.5
Trey Gilder,1,0.5,0,0.5,0,1,,,0.336,2.5
Manu Ginóbili,16.5,3.8,4.9,1.4,0.3,0.441,0.377,0.87,0.216,28.7
Ryan Gomes,10.9,4.6,1.6,0.8,0.2,0.447,0.372,0.825,0.052,29.1
Drew Gooden,10.9,7.7,0.7,0.6,0.8,0.478,0.125,0.861,0.121,25.1
Ben Gordon,13.8,1.9,2.7,0.8,0.1,0.416,0.321,0.861,0.059,27.9
Eric Gordon,16.9,2.6,3,1.1,0.2,0.449,0.371,0.742,0.069,36
Marcin Gortat,3.6,4.2,0.2,0.2,0.9,0.533,0,0.68,0.151,13.4
Joey Graham,4.2,2,0.3,0.4,0.1,0.52,0.154,0.74,0.072,12
Stephen Graham,4.2,1.9,0.3,0.3,0.1,0.496,0.32,0.646,0.094,11.5
Danny Granger,24.1,5.5,2.8,1.5,0.8,0.428,0.361,0.848,0.131,36.7
Aaron Gray,3.3,3.3,0.7,0.3,0.3,0.512,,0.714,0.142,9.7
Danny Green,2,0.9,0.3,0.3,0.2,0.385,0.273,0.667,0.083,5.8
Jeff Green,15.1,6,1.6,1.3,0.9,0.453,0.333,0.74,0.105,37.1
Willie Green,8.7,1.8,2.1,0.4,0.2,0.457,0.346,0.833,0.067,21.3
Donté Greene,8.5,3.1,0.9,0.5,0.7,0.441,0.377,0.643,0.044,21.4
Taylor Griffin,1.3,0.3,0.1,0,0.3,0.4,0,0.5,-0.039,4
Hamed Haddadi,1.7,2.1,0.3,0,0.4,0.387,0,0.737,-0.002,6.7
Malik Hairston,2.1,1,0.3,0.1,0.2,0.526,0.182,0.567,0.107,6.7
Marcus Haislip,2.5,1,0,0,0.2,0.476,0.6,0.4,0.065,4.4
Richard Hamilton,18.1,2.7,4.4,0.7,0.1,0.409,0.297,0.846,0.043,33.7
Tyler Hansbrough,8.5,4.8,1,0.6,0.3,0.36,0,0.743,0.07,17.6
James Harden,9.9,3.2,1.8,1.1,0.3,0.403,0.375,0.808,0.124,22.9
Al Harrington,17.7,5.6,1.5,0.9,0.4,0.435,0.342,0.757,0.077,30.5
Devin Harris,16.9,3.2,6.6,1.2,0.3,0.403,0.276,0.798,0.057,34.7
Mike Harris,2.2,1.8,0.2,0.4,0.1,0.367,0,0.636,-0.037,7.4
Jason Hart,0.4,0.4,1.2,0.4,0.2,0.5,,,-0.003,4.4
Udonis Haslem,9.9,8.1,0.7,0.4,0.3,0.494,,0.762,0.132,27.9
Trenton Hassell,4.5,2.9,1,0.3,0.2,0.411,0,0.754,-0.003,21.3
Spencer Hawes,10,6.1,2.2,0.4,1.2,0.468,0.299,0.689,0.054,26.4
Chuck Hayes,4.4,5.7,1.7,0.9,0.5,0.489,,0.545,0.098,21.6
Jarvis Hayes,7.8,2.4,0.9,0.6,0.2,0.421,0.335,0.778,0.038,23
Brendan Haywood,9.1,9.3,0.6,0.3,2.1,0.562,0,0.62,0.137,30.6
Luther Head,7.6,1.7,1.5,0.4,0.2,0.437,0.352,0.828,0.034,17.3
Gerald Henderson,2.6,1.3,0.3,0.2,0.2,0.356,0.211,0.745,0.056,8.3
Roy Hibbert,11.7,5.7,2,0.4,1.6,0.495,0.5,0.754,0.098,25.1
J.J. Hickson,8.5,4.9,0.5,0.4,0.5,0.554,0,0.681,0.123,20.9
Nenê,13.8,7.6,2.5,1.4,1,0.587,0,0.704,0.188,33.6
George Hill,12.4,2.6,2.9,0.9,0.3,0.478,0.399,0.772,0.142,29.2
Grant Hill,11.3,5.5,2.4,0.7,0.4,0.478,0.438,0.817,0.109,30
Jordan Hill,5.2,3.7,0.4,0.3,0.4,0.493,0,0.676,0.105,13.3
Kirk Hinrich,10.9,3.5,4.5,1.1,0.3,0.409,0.371,0.752,0.077,33.5
Jrue Holiday,8,2.6,3.8,1.1,0.2,0.442,0.39,0.756,0.032,24.2
Ryan Hollins,6.1,2.8,0.7,0.3,0.5,0.558,0,0.69,0.048,16.8
Al Horford,14.2,9.9,2.3,0.7,1.1,0.551,1,0.789,0.183,35.1
Eddie House,7,1.6,1.3,0.6,0.1,0.38,0.348,0.923,0.042,17.9
Dwight Howard,18.3,13.2,1.8,0.9,2.8,0.612,0,0.592,0.223,34.7
Josh Howard,12.7,3.6,1.4,0.7,0.3,0.405,0.267,0.784,0.054,26.2
Juwan Howard,6,4.6,0.8,0.4,0.1,0.509,0,0.786,0.077,22.4
Lester Hudson,2.3,0.7,0.5,0.3,0.1,0.396,0.313,0.846,0.029,5.2
Larry Hughes,9.1,3.2,3,1.2,0.3,0.355,0.309,0.832,0.03,24.8
Kris Humphries,7.1,5.5,0.5,0.5,0.7,0.441,0,0.668,0.074,17.7
Chris Hunter,4.5,2.8,0.6,0.2,0.6,0.502,0,0.754,0.08,13.1
Lindsey Hunter,1,1.1,0.7,0.1,0,0.167,0.077,1,-0.117,9.4
Othello Hunter,1.6,1.7,0,0,0.1,0.333,,0.75,-0.031,4.7
Steven Hunter,2.5,2,0,0,0.5,0.395,,0.528,0.018,7.5
Serge Ibaka,6.3,5.4,0.1,0.3,1.3,0.543,0.5,0.63,0.134,18.1
Andre Iguodala,17.1,6.5,5.8,1.7,0.7,0.443,0.31,0.733,0.101,38.9
Zydrunas Ilgauskas,7.4,5.4,0.8,0.2,0.8,0.443,0.478,0.743,0.088,20.9
D.J. Mbenga,2.1,1.8,0.2,0.1,0.6,0.466,,0.474,0.084,7.2
Ersan İlyasova,10.4,6.4,1,0.7,0.3,0.443,0.336,0.715,0.146,23.4
Allen Iverson,13.8,2.8,4,0.7,0.1,0.43,0.36,0.794,0.037,30.9
Royal Ivey,2.1,0.8,0.6,0.4,0,0.422,0.4,0.75,0.086,7.4
Jarrett Jack,11.4,2.7,5,0.7,0.1,0.481,0.412,0.842,0.102,27.4
Cedric Jackson,1.7,0.7,1.2,0.3,0.2,0.3,0.167,0.583,-0.111,6.2
Darnell Jackson,0.8,0.8,0.1,0.1,0.1,0.3,0.25,0.667,-0.104,4.4
Stephen Jackson,20.6,5,3.7,1.6,0.5,0.423,0.328,0.779,0.077,38.6
LeBron James,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,0.299,39
Mike James,4.5,0.8,1.3,0.8,0,0.3,0.333,0.5,-0.14,11.5
Antawn Jamison,18.7,8.4,1.3,1.1,0.3,0.461,0.344,0.647,0.115,36.5
Nathan Jawai,3.2,2.7,0.6,0.3,0.2,0.441,0,0.684,0.031,10.6
Othyus Jeffers,2.6,1.4,0.1,0.3,0,0.414,,0.684,0.067,5.2
Al Jefferson,17.1,9.3,1.8,0.8,1.3,0.498,0,0.68,0.09,32.4
Richard Jefferson,12.3,4.4,2,0.6,0.5,0.467,0.316,0.735,0.113,31.1
Jared Jeffries,5.3,4.1,1.4,0.9,1,0.439,0.296,0.625,0.058,25.6
Brandon Jennings,15.5,3.4,5.7,1.3,0.2,0.371,0.374,0.817,0.075,32.6
Jonas Jerebko,9.3,6,0.7,1,0.4,0.481,0.313,0.71,0.095,27.9
Yi Jianlian,12,7.2,0.9,0.7,1,0.403,0.366,0.798,0.037,31.8
Amir Johnson,6.2,4.8,0.6,0.5,0.8,0.623,0,0.638,0.15,17.7
Anthony Johnson,4.2,1.5,2,0.4,0,0.441,0.333,0.95,0.116,13.1
James Johnson,3.9,2,0.7,0.3,0.7,0.452,0.326,0.729,0.054,11.6
Joe Johnson,21.3,4.6,4.9,1.1,0.1,0.458,0.369,0.818,0.14,38
Dahntay Jones,10.2,3,2,0.5,0.5,0.461,0.125,0.77,0.045,24.9
Dwayne Jones,0,1,0,0,0,,,,0.045,3.5
James Jones,4.1,1.3,0.5,0.3,0.1,0.361,0.411,0.821,0.099,14
Solomon Jones,4,2.8,0.6,0.3,0.7,0.443,0,0.718,0.058,13
DeAndre Jordan,4.8,5,0.3,0.2,0.9,0.605,0,0.375,0.061,16.2
Chris Kaman,18.5,9.3,1.6,0.5,1.2,0.49,0,0.749,0.044,34.3
Jason Kapono,5.7,1.2,0.7,0.4,0.1,0.419,0.368,0.6,0.023,17.1
Coby Karl,4,2.6,2.1,0.4,0.1,0.344,0.182,0.667,-0.076,16.1
Jason Kidd,10.3,5.6,9.1,1.8,0.4,0.423,0.425,0.808,0.148,36
Andrei Kirilenko,11.9,4.6,2.7,1.4,1.2,0.506,0.292,0.744,0.171,29
Kyle Korver,7.2,2.1,1.7,0.5,0.2,0.493,0.536,0.796,0.13,18.3
Kosta Koufos,1.5,1.3,0.2,0.1,0.1,0.468,,0.6,0.014,4.8
Nenad Krstić,8.4,5,0.7,0.4,0.6,0.502,0.2,0.717,0.116,22.9
Oliver Lafayette,7,4,2,0,0,0.5,0.5,,0.098,22
Carl Landry,16.8,5.9,0.8,0.7,0.8,0.536,0.333,0.806,0.15,30.9
Marcus Landry,2.4,1.1,0,0.1,0.1,0.372,0.321,0.6,-0.034,6.2
Acie Law,4.3,0.7,1,0.4,0,0.467,0.313,0.776,0.115,9
Ty Lawson,8.3,1.9,3.1,0.7,0,0.515,0.41,0.757,0.135,20.3
Courtney Lee,12.5,3.5,1.7,1.3,0.3,0.436,0.338,0.869,0.063,33.5
David Lee,20.2,11.7,3.6,1,0.5,0.545,0,0.812,0.163,37.3
Rashard Lewis,14.1,4.4,1.5,1.1,0.4,0.435,0.397,0.806,0.132,32.9
Shaun Livingston,6.9,2.2,3.6,0.5,0.3,0.517,0,0.875,0.07,22.1
Brook Lopez,18.8,8.6,2.3,0.7,1.7,0.499,0,0.817,0.125,36.9
Robin Lopez,8.4,4.9,0.1,0.2,1,0.588,,0.704,0.158,19.3
Kevin Love,14,11,2.3,0.7,0.4,0.45,0.33,0.815,0.138,28.6
Kyle Lowry,9.1,3.6,4.5,0.9,0.1,0.397,0.272,0.827,0.126,24.3
Corey Maggette,19.8,5.3,2.5,0.7,0.1,0.516,0.26,0.835,0.144,29.7
Jamaal Magloire,2.1,3.4,0,0.3,0.3,0.5,,0.356,0.078,10
Ian Mahinmi,3.9,2,0.1,0.1,0.3,0.636,,0.66,0.206,6.3
Shawn Marion,12,6.4,1.4,0.9,0.8,0.508,0.158,0.755,0.1,31.8
Sean Marks,0.7,1.6,0.1,0,0.2,0.5,,0.4,0.104,5.4
Cartier Martin,7.8,3.8,0.9,0.6,0.1,0.368,0.347,0.8,0.011,21.7
Kenyon Martin,11.5,9.4,1.9,1.2,1.1,0.456,0.276,0.557,0.079,34.2
Kevin Martin,20.6,3.6,2.4,1,0.1,0.417,0.333,0.876,0.123,35.5
Desmond Mason,2.6,2.6,0.4,0.2,0.2,0.417,,0.75,-0.007,13.2
Roger Mason,6.3,2.1,1.7,0.4,0.2,0.389,0.333,0.794,0.062,19.2
Wesley Matthews,9.4,2.3,1.5,0.8,0.2,0.483,0.382,0.829,0.108,24.7
Jason Maxiell,6.8,5.3,0.5,0.5,0.5,0.511,0,0.574,0.081,20.4
Sean May,3.3,1.9,0.5,0.3,0.2,0.459,0,0.656,0.044,8.9
Eric Maynor,4.7,1.6,3.3,0.5,0.1,0.418,0.31,0.722,0.071,15.7
O.J. Mayo,17.5,3.8,3,1.2,0.2,0.458,0.383,0.809,0.087,38
Luc Mbah a Moute,6.2,5.5,1.1,0.8,0.5,0.48,0.353,0.699,0.122,25.6
Antonio McDyess,5.8,5.9,1.1,0.6,0.4,0.479,0,0.632,0.094,21
JaVale McGee,6.4,4.1,0.2,0.3,1.7,0.508,0,0.638,0.105,16.1
Tracy McGrady,8.2,3.1,3.3,0.5,0.5,0.387,0.25,0.746,0.018,22.4
Dominic McGuire,0.7,1.5,0.2,0.1,0.1,0.365,,0,-0.038,6
Josh McRoberts,4.3,3,1,0.4,0.4,0.521,0.348,0.5,0.134,12.5
Jodie Meeks,4.7,1.7,0.7,0.3,0.1,0.388,0.318,0.795,0.06,12
Pops Mensah-Bonsu,2,1.8,0.2,0.2,0.5,0.394,,0.542,0.006,6
C.J. Miles,9.9,2.7,1.7,0.9,0.3,0.429,0.341,0.695,0.061,23.8
Darko Miličić,6.7,4.7,1.5,0.7,1.1,0.49,0,0.536,0.05,21.4
Andre Miller,14,3.2,5.4,1.1,0.1,0.445,0.2,0.821,0.134,30.5
Brad Miller,8.8,4.9,1.9,0.5,0.4,0.43,0.28,0.827,0.098,23.8
Mike Miller,10.9,6.2,3.9,0.7,0.2,0.501,0.48,0.824,0.104,33.4
Patty Mills,2.6,0.2,0.5,0,0,0.417,0.5,0.571,-0.036,3.8
Paul Millsap,11.6,6.8,1.6,0.8,1.2,0.538,0.111,0.693,0.151,27.8
Nazr Mohammed,7.9,5.2,0.5,0.3,0.7,0.553,,0.648,0.174,17
Jamario Moon,4.9,3.1,0.8,0.6,0.5,0.462,0.32,0.8,0.131,17.2
Mikki Moore,5,3,1.6,0.2,0.6,0.6,,0.636,0.071,17.7
Randolph Morris,2.2,1.4,0.1,0.2,0.1,0.561,,0.593,0.108,4.4
Adam Morrison,2.4,1,0.6,0.1,0.1,0.376,0.238,0.625,0.009,7.8
Anthony Morrow,13,3.8,1.5,0.9,0.2,0.468,0.456,0.886,0.084,29.2
Byron Mullens,1.1,0.8,0.1,0.2,0,0.368,,,-0.077,4.2
Troy Murphy,14.6,10.2,2.1,1,0.5,0.472,0.384,0.798,0.159,32.6
Ronald Murray,9.9,2.4,1.8,0.6,0.2,0.392,0.312,0.727,0.051,22.3
Eduardo Nájera,3.4,2.5,0.6,0.6,0.3,0.425,0.297,0.583,0.058,14.9
