Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48,MP
Arron Afflalo,8.8,3.1,1.7,0.6,0.4,0.465,0.434,0.735,0.092,27.1
Alexis Ajinça,1.7,0.7,0,0.2,0.2,0.5,,0,-0.013,5
LaMarcus Aldridge,17.9,8,2.1,0.9,0.6,0.495,0.313,0.757,0.145,37.5
Joe Alexander,0.5,0.6,0.3,0.1,0.1,0.167,0,0.667,0.03,3.6
Malik Allen,2.1,1.6,0.3,0.2,0.1,0.397,0.167,0.923,0.009,8.9
Ray Allen,16.3,3.2,2.6,0.8,0.3,0.477,0.363,0.913,0.135,35.2
Tony Allen,6.1,2.7,1.3,1.1,0.4,0.51,0,0.605,0.1,16.5
Rafer Alston,8.2,2.5,3.4,1,0.2,0.348,0.345,0.728,-0.013,27.3
Lou Amundson,4.7,4.4,0.4,0.3,0.9,0.551,0,0.545,0.118,14.8
Chris Andersen,5.9,6.4,0.4,0.6,1.9,0.566,0,0.695,0.166,22.3
David Andersen,5.8,3.3,0.7,0.2,0.2,0.432,0.346,0.687,0.07,14.1
Antonio Anderson,2,1,0,0,0,0.333,,,-0.104,15
Ryan Anderson,7.7,3.2,0.6,0.4,0.2,0.436,0.37,0.866,0.161,14.5
Carmelo Anthony,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,0.145,38.2
Joel Anthony,2.7,3.1,0.2,0.3,1.4,0.478,,0.717,0.111,16.5
Gilbert Arenas,22.6,4.2,7.2,1.3,0.3,0.411,0.348,0.739,0.072,36.5
Trevor Ariza,14.9,5.6,3.8,1.8,0.6,0.394,0.334,0.649,0.058,36.5
Hilton Armstrong,2.2,2.5,0.6,0.5,0.4,0.354,0,0.469,-0.017,10.2
Carlos Arroyo,6.1,1.8,3.1,0.5,0.1,0.475,0.28,0.844,0.113,22
Darrell Arthur,4.5,3.4,0.5,0.4,0.4,0.432,0,0.567,0.031,14.3
Chucky Atkins,4,0.7,2.3,0.4,0,0.363,0.301,0.926,0.017,16.1
D.J. Augustin,6.4,1.2,2.4,0.6,0.1,0.386,0.393,0.779,0.092,18.4
Jeff Ayres,2.7,2.5,0,0.2,0.4,0.662,,0.9,0.156,10.4
Kelenna Azubuike,13.9,4.6,1.1,0.6,1,0.545,0.37,0.679,0.148,25.7
Renaldo Balkman,1.1,1.8,0.5,0.6,0.2,0.333,0,0.333,-0.001,7
Marcus Banks,5,1,1.2,0.5,0.1,0.534,0.292,0.828,0.095,11.1
Leandro Barbosa,9.5,1.6,1.5,0.5,0.3,0.425,0.324,0.877,0.065,17.9
J.J. Barea,7.6,1.9,3.3,0.4,0.1,0.44,0.357,0.844,0.069,19.8
Andrea Bargnani,17.2,6.2,1.2,0.3,1.4,0.47,0.372,0.774,0.072,35
Matt Barnes,8.8,5.5,1.7,0.7,0.4,0.487,0.319,0.74,0.135,25.9
Earl Barron,11.7,11,1.1,0.6,0.6,0.441,,0.759,0.091,33.1
Brandon Bass,5.8,2.5,0.4,0.2,0.5,0.511,,0.825,0.147,13
